白鲞,将捕捞到的海产品直接晒干的淡干品。,
麦草扇,麦杆编成带子，用这种带子盘绕而成的扇子。,
麦须,麦芒。△～共日头对硬（大麦灌浆期需要晴朗天气）。,
麦粗,大麦片。,
麦粗糜,大米加入麦片煮的稀饭。,
麦锋,包着麦粒的白色皮屑。,
麦煎,大麦磨成粉，加糖水泡匀后煎成的块状食品。,
麦稿,麦秸。,
麦螺,织纹螺。,
爬龙船,赛龙舟。,
爬起,①起床；起来：抱～|天光咯，～。②相当于普通话“起来”，用在动词后，表示动作的开始并且继续、完成或达到目的、表示估计等：天时节节南风～（天气渐渐暖和起来）|体育中心是2010年建～厄。|我算～咯，者是老张厄伞（我想起来了，这是老张的雨伞）|看～下昼会落雨。,
爬悬索下,到处乱闯。,
麻,一种使舌头感到不滑润不好受的滋味：者个红柿未曾熟，食了嘴乞～都无法度。,
棚,①用竹木绳子编成的简单支架，供某些瓜豆类攀藤生长：菜瓜～。②戏台：戏～。③量词，用于戏，相当于普通话“场”。,
棚下,台下。△大～讨无姆（旧时莆仙风俗，家中一般不许年轻闺女到戏台下看戏。要想在看戏的人群中找老婆，根本是找不到的。喻找错地方）。,
棚后,台后。,
棚顶,舞台上。,
棚前,台前。,
棚兜,戏台附近。,
百二间大厝,莆仙古代高官、富豪的大宅院，最初建成时有120间。一般为纵向三座七间厢主房，加上两边护厝及下座照、后供堂等形成的封闭式大宅院，再加上楼、馆、亭、园等附属建筑，形成主轴线为五进以上的超大型士大夫宅第。如涵江区江口镇林氏百二间大厝、萩芦镇梅洋村江春霖故居、梧塘镇西庄村卢氏百二间大厝。‖参看【护厝】在第95页，【下座照】在第6页。,
百七五,一百七十五。类似的可以说“百三八”、“百四七”、“百六九”等。,
百几,一百多。类似的有千几，万几等。,
百日,满孝。,
百六,一百六十。类似的有百三，百五，百九、千七、万九等。,
百岁,指老人去世。,
伯公,祖父的哥哥。,
伯叔婶,妯娌。△～有蜀世无两世（难得妯娌相处，劝人和睦共处）。,
病囝,女子怀孕。,
擘,①剥；掰；撕裂：～地生（剥花生）|～裂喉空（扯大喉咙）。②（眼睛）睁：目珠～开。,
排骨,猪的肋骨。,
摆,（走路）摇摇摆摆：行路～阿～。,
摆,量词。相当于“次”。,
摆古今,粗言野语。,
摆棕轿,莆田庆元宵的一种文娱活动。棕轿是用竹子或木头制成的，轿顶饰棕片，象征神轿，由两个人用杠子前后抬着，按照锣鼓的节奏围绕火堆跳舞，或跳过火堆，同时摇摆、翻转棕轿。,
拜一,星期一。星期二到星期六的说法以此类推。,
拜几,星期几。,
拜佛,拜菩萨：烧香～。,
拜拜,祭拜。,
八八方,一种规格条石，横截面为边长8寸的正方形。,
八仙子弟,莆仙戏八种戏剧角色，即生、旦、净、末、外、老、贴、丑。,
八仙床,八仙桌。,
八仙桌,方桌。,
八乐,本地演奏音乐。由十几岁的男童或女童组成，称“男八乐”或“女八乐”，人数5至9人不等。也有中老年的八乐队。其中掌鼓板1人，掌大小锣和大小钹各1人，他们兼合唱。除了打击乐器外，另配有八人组成的管弦乐器伴奏队，故称“八乐”。所用伴奏乐器是横笛2把，尺胡2把，四胡、贡胡、三弦、八角琴各1把。”。八乐吹拉弹唱，但以演唱为主，其特点就是锣鼓点渗透到唱腔中。有打击乐，有器乐，又有声乐，既可行奏，也可坐奏，乐声悠扬悦耳，轻歌曼舞，备受群众的喜爱。八乐”曲牌选自莆仙戏曲牌，常唱的是《吊丧》和《春江》两剧中的曲牌，以及《卖画》、《观音扫殿》等。,
八蜡爷,蜘蛛。,
北斗戏,是莆仙地区提线木偶戏的传统剧目，演的是南斗北斗星君和临水夫人陈靖姑降魔伏妖，扫除种种邪煞以保护宋朝太子长大成人，继承帝位的故事。过去演木偶戏，都是谢神酬愿时演唱的。如孩子们生病，为父母的就求神下愿，在孩子病愈后，演唱“北斗戏”，这种北斗戏，一是在孩子弥月、四个月、周岁或病人病愈后演唱，一是在结婚前一天演唱。,
北向,北边。‖也叫【北向爿】。,
北向爿,‖同【北向】。,
北军,1916----1918年南北方军队混战，人们称北洋军阀的部队为北军：侬生合～一样（指男子个子高大）。,
北洋,木兰陂以东木兰溪以北的平原。,
白粉,粉笔。,
幅,量词。用于布匹。,
腹肚,肚子。△～通东海（喻饭量大）。,
腹肚皮,肚皮。,
腹肚里,心里：我伓知伊～甚生算（什么想）。,
腹肚胀,腹胀。,
腹肚痛,肚子疼。,
腹脐,肚脐。,
目连娘妳,比喻拼命劳作、操劳的女人。,
墨膏,浓墨汁。,
覕,躲避；躲藏：～底落无看见（躲在哪里看不到）|走去～（躲起来了）。,
覕找,捉迷藏。,
覕涂,喻隐藏。,
墨线,木工在木料上用墨斗线弹出的直线。,
帮贴,补助：加厄工资留～伙食。,
帮脚帮手,帮忙：叫几个侬～。,
帮厨,厨师的助手，负责分各道菜肴。,
梆鼓咚,莆仙民间音乐。也称俚歌、乞食歌。流行于莆田、仙游二县，以及惠安、福清、永春等邻县的兴化方言区。本来是民间卖唱艺人作为谋生的说唱形式。早期演唱者以盲艺人为主。用莆田方言演唱，以渔鼓和简板为主要伴奏乐器。在开唱前往往有一段技巧性很强的击鼓演奏，演唱结束时亦有一段收场鼓点。鼓点有四种敲击法而发出不同的音响。艺人在演唱中，以一个基本唱调，随着唱词的音韵、声调、语气、情感的变化与转换，可以唱出多种不同的曲调。唱词属多段体叙事诗。每段四句，每句七字，讲究押韵，逢双必押。其唱词的押韵可一段一韵，亦可数段一韵。最初演唱分为“文唱”和“俗唱”。文唱因出自文人笔下，语言文字深奥含蓄，唱腔旋律平淡低沉，鼓点板式单调，难以在百姓中广泛流传而逐渐消亡。俗唱又叫“乞丐歌”，属民间口头创作，语言通俗且故事贴近生活，曲调可随词意内容变化，鼓点、板式也丰富多样。,
房砖,房间内铺地的六角形薄片砖。△行三间～（喻见识短）。,
板条,长条状的木板。,
板油,猪腹部的油。,
板架,旧式木床铺内侧平放的固定木板，用于放东西。,
板架顶,搁在旧式木床铺后壁防护围板上部的横支架，用于放东西。,
板架箧,旧式眠床板架橱下部的小抽屉。,
板架橱,床背阁。放在旧式木床铺板架上的组合橱。‖参看【板架】见上方。,
板堵,木板的隔墙。,
板锄,一种锄头，刀身比普通锄头狭长，适合于刨山地。,
板障,阻挠，从中作梗：伊旧年评先进，乞侬～无落尾。,
放工,特地抽出时间：我今旦～合汝齐去看。,
放水灯,旧时在中元节时，将许多灯笼放入水中随水流去祭孤魂。,
放石炮,采石场放炮炸石头。,
放四门铳,大事；隆重。,
放头放担,完全放开。,
放囝,鱼虾等产卵：春天鱼卜～咯。,
放汤,‖同【放嫽】义③见下方。,
